breedtegraad,lengtegraad,Totale uitstoot
0,0,2304.17
0,1,2304.17
0,2,2304.17
0,3,2304.17
0,4,2304.17
0,5,422.79999999999995
0,6,406.71000000000004
0,7,529.04
0,8,401.87
0,9,474.90999999999997
0,10,459.47
0,11,406.21000000000004
0,12,423.27
0,13,545.1199999999999
0,14,490.25
0,15,436.92
0,16,532.81
0,17,530.9100000000001
0,18,541.37
0,19,499.03
0,20,505.59000000000003
0,21,479.25
0,22,520.58
0,23,459.5
0,24,533.77
0,25,447.37
0,26,495.94999999999993
0,27,457.07
0,28,536.61
0,29,415.31
0,30,424.03
0,31,519.03
0,32,470.45000000000005
0,33,419.02
0,34,520.01
0,35,489.04
0,36,452.0
0,37,409.99
0,38,533.3499999999999
0,39,457.09000000000003
0,40,512.73
0,41,533.64
0,42,500.12
0,43,502.18
0,44,570.48
0,45,456.35
0,46,416.69
0,47,498.06
0,48,510.87
0,49,466.95
0,50,518.21
0,51,416.83000000000004
0,52,482.25
0,53,453.73
0,54,481.87
0,55,430.37
0,56,526.75
0,57,542.89
0,58,514.9399999999999
0,59,493.78999999999996
0,60,501.63
0,61,501.43
0,62,519.8499999999999
0,63,428.28
0,64,461.12
0,65,581.24
0,66,433.55
0,67,571.4
0,68,512.4100000000001
0,69,453.37
0,70,384.78000000000003
0,71,444.0
0,72,460.20000000000005
0,73,348.59
0,74,510.75
0,75,472.23
0,76,460.15999999999997
0,77,532.46
0,78,504.88
0,79,554.8199999999999
0,80,604.8900000000001
0,81,373.85
0,82,466.28
0,83,460.87
0,84,514.95
0,85,411.71000000000004
0,86,471.1
0,87,481.28999999999996
0,88,451.47
0,89,521.0
0,90,474.65
0,91,589.5799999999999
0,92,378.39
0,93,455.13
0,94,554.78
0,95,491.72
0,96,401.45000000000005
0,97,533.38
0,98,510.17
0,99,577.3499999999999
1,0,2304.17
1,1,5011.13
1,2,5011.13
1,3,5011.13
1,4,2304.17
1,5,537.62
1,6,414.68999999999994
1,7,447.45
1,8,436.53999999999996
1,9,442.97
1,10,473.76
1,11,382.73
1,12,516.88
1,13,496.73
1,14,517.62
1,15,513.8599999999999
1,16,463.14
1,17,436.71000000000004
1,18,504.43
1,19,447.47
1,20,471.1
1,21,481.76
1,22,492.03999999999996
1,23,470.89
1,24,417.61
1,25,475.9
1,26,475.54
1,27,434.45
1,28,448.44
1,29,422.74
1,30,575.2
1,31,478.76
1,32,486.21000000000004
1,33,409.32
1,34,419.35
1,35,472.36
1,36,476.67999999999995
1,37,471.08000000000004
1,38,431.86
1,39,571.6099999999999
1,40,428.77
1,41,536.5999999999999
1,42,548.6
1,43,371.65
1,44,511.06
1,45,565.84
1,46,627.5
1,47,418.81
1,48,532.14
1,49,504.99
1,50,426.57000000000005
1,51,554.5
1,52,563.15
1,53,408.11
1,54,375.55
1,55,521.22
1,56,399.83000000000004
1,57,567.0999999999999
1,58,582.0899999999999
1,59,557.52
1,60,448.83
1,61,578.6700000000001
1,62,567.8399999999999
1,63,489.46
1,64,380.87
1,65,503.12
1,66,545.46
1,67,558.22
1,68,437.56
1,69,431.29999999999995
1,70,542.42
1,71,478.4
1,72,453.94
1,73,490.37
1,74,411.14
1,75,499.98
1,76,459.03
1,77,455.2900000000001
1,78,434.82
1,79,464.86
1,80,505.2
1,81,377.92
1,82,418.14
1,83,477.99
1,84,423.86
1,85,499.0
1,86,449.84000000000003
1,87,478.89
1,88,398.54
1,89,492.66999999999996
1,90,499.52
1,91,534.53
1,92,516.66
1,93,461.90999999999997
1,94,399.57
1,95,470.71999999999997
1,96,599.3199999999999
1,97,398.3
1,98,356.5
1,99,431.45
2,0,2304.17
2,1,5011.13
2,2,9244.93
2,3,5011.13
2,4,2304.17
2,5,553.4000000000001
2,6,542.05
2,7,489.83
2,8,539.43
2,9,557.63
2,10,568.0799999999999
2,11,418.76
2,12,481.88
2,13,522.54
2,14,382.4
2,15,414.23
2,16,494.91999999999996
2,17,547.98
2,18,479.05
2,19,516.4300000000001
2,20,474.96999999999997
2,21,598.45
2,22,546.9699999999999
2,23,439.47
2,24,513.6800000000001
2,25,540.9100000000001
2,26,369.62
2,27,431.18
2,28,438.74
2,29,536.12
2,30,461.93
2,31,385.65
2,32,504.63
2,33,389.49
2,34,435.36
2,35,419.83000000000004
2,36,467.41
2,37,433.78
2,38,392.7
2,39,479.37
2,40,405.4
2,41,430.53999999999996
2,42,566.49
2,43,538.44
2,44,570.54
2,45,465.23
2,46,403.31000000000006
2,47,465.27
2,48,508.09
2,49,505.34000000000003
2,50,498.34
2,51,527.95
2,52,426.24
2,53,436.83000000000004
2,54,445.78999999999996
2,55,422.99
2,56,519.24
2,57,411.59000000000003
2,58,438.78999999999996
2,59,556.63
2,60,448.75
2,61,359.21
2,62,600.1199999999999
2,63,430.96999999999997
2,64,447.75
2,65,574.71
2,66,557.54
2,67,489.28
2,68,409.75
2,69,495.97
2,70,559.4100000000001
2,71,488.0
2,72,476.84000000000003
2,73,465.79
2,74,509.71
2,75,389.28999999999996
2,76,515.51
2,77,480.45
2,78,389.61
2,79,496.51
2,80,446.0
2,81,501.97
2,82,506.22
2,83,402.33000000000004
2,84,452.31
2,85,374.68
2,86,553.08
2,87,550.48
2,88,469.59
